
> avner-lite@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.108:3000
- Environments: .env.local

✓ Starting...
Creating turbopack project { dir: 'F:\\ak\\avner-lite', testMode: true }
✓ Ready in 944ms
 GET /api/dev/orchestrator 200 in 955ms (compile: 568ms, render: 387ms)
 GET /api/dev/orchestrator 200 in 349ms (compile: 4ms, render: 345ms)
 GET /dev/orchestrator 200 in 1775ms (compile: 1355ms, render: 420ms)
✓ Compiled in 134ms
 GET /api/dev/orchestrator 200 in 464ms (compile: 54ms, render: 410ms)
 GET /dev/orchestrator 200 in 510ms (compile: 92ms, render: 417ms)
 GET /dev/orchestrator 200 in 350ms (compile: 3ms, render: 347ms)
 GET /api/dev/orchestrator 200 in 332ms (compile: 3ms, render: 329ms)
 GET /api/dev/orchestrator 200 in 313ms (compile: 1895µs, render: 311ms)
 GET /api/dev/orchestrator 200 in 328ms (compile: 3ms, render: 325ms)
 GET /api/dev/orchestrator 200 in 319ms (compile: 2ms, render: 317ms)
 GET /api/dev/orchestrator 200 in 322ms (compile: 1756µs, render: 320ms)
 GET /api/dev/orchestrator 200 in 317ms (compile: 2ms, render: 315ms)
 GET /api/dev/orchestrator 200 in 322ms (compile: 1585µs, render: 320ms)
 GET /api/dev/orchestrator 200 in 303ms (compile: 1709µs, render: 301ms)
 GET /api/dev/orchestrator 200 in 334ms (compile: 1870µs, render: 332ms)
 GET /api/dev/orchestrator 200 in 350ms (compile: 1438µs, render: 348ms)
 GET /api/dev/orchestrator 200 in 332ms (compile: 1595µs, render: 331ms)
 GET /api/dev/orchestrator 200 in 318ms (compile: 1601µs, render: 316ms)
 GET /api/dev/orchestrator 200 in 320ms (compile: 1423µs, render: 319ms)
 GET /api/dev/orchestrator 200 in 314ms (compile: 2ms, render: 312ms)
 GET /api/dev/orchestrator 200 in 320ms (compile: 1855µs, render: 318ms)
 GET /api/dev/orchestrator 200 in 319ms (compile: 1531µs, render: 317ms)
 GET /api/dev/orchestrator 200 in 302ms (compile: 1538µs, render: 301ms)
 GET /api/dev/orchestrator 200 in 338ms (compile: 1947µs, render: 336ms)
 GET /api/dev/orchestrator 200 in 313ms (compile: 1521µs, render: 312ms)
 GET /api/dev/orchestrator 200 in 344ms (compile: 1527µs, render: 343ms)
 GET /api/dev/orchestrator 200 in 328ms (compile: 1489µs, render: 327ms)
 GET /api/dev/orchestrator 200 in 345ms (compile: 1975µs, render: 343ms)
 GET /api/dev/orchestrator 200 in 329ms (compile: 2ms, render: 327ms)
 GET /api/dev/orchestrator 200 in 331ms (compile: 1521µs, render: 330ms)
 GET /api/dev/orchestrator 200 in 330ms (compile: 2ms, render: 328ms)
 GET /api/dev/orchestrator 200 in 354ms (compile: 1691µs, render: 352ms)
 GET /api/dev/orchestrator 200 in 332ms (compile: 1651µs, render: 330ms)
 GET / 200 in 107ms (compile: 39ms, render: 68ms)
 GET /api/dev/orchestrator 200 in 316ms (compile: 1672µs, render: 314ms)
 GET /api/dev/orchestrator 200 in 335ms (compile: 1934µs, render: 333ms)
 GET /api/dev/orchestrator 200 in 316ms (compile: 1303µs, render: 314ms)
 GET /api/dev/orchestrator 200 in 318ms (compile: 3ms, render: 316ms)
 GET /api/dev/orchestrator 200 in 314ms (compile: 1956µs, render: 312ms)
 GET /api/dev/orchestrator 200 in 320ms (compile: 1474µs, render: 319ms)
 GET /api/dev/orchestrator 200 in 330ms (compile: 1445µs, render: 328ms)
 GET /api/dev/orchestrator 200 in 303ms (compile: 1577µs, render: 301ms)
 GET /api/dev/orchestrator 200 in 334ms (compile: 1525µs, render: 332ms)
 GET /api/dev/orchestrator 200 in 325ms (compile: 1580µs, render: 323ms)
 GET /api/dev/orchestrator 200 in 330ms (compile: 1386µs, render: 328ms)
 GET /api/dev/orchestrator 200 in 302ms (compile: 1488µs, render: 300ms)
 GET /api/dev/orchestrator 200 in 328ms (compile: 1831µs, render: 326ms)
 GET /api/dev/orchestrator 200 in 313ms (compile: 1663µs, render: 311ms)
 GET /api/dev/orchestrator 200 in 302ms (compile: 1460µs, render: 300ms)
 GET /api/dev/orchestrator 200 in 309ms (compile: 1409µs, render: 308ms)
 GET /api/dev/orchestrator 200 in 333ms (compile: 1639µs, render: 331ms)
 GET /api/dev/orchestrator 200 in 313ms (compile: 1623µs, render: 311ms)
 GET /api/dev/orchestrator 200 in 328ms (compile: 1467µs, render: 327ms)
 GET /api/dev/orchestrator 200 in 315ms (compile: 2ms, render: 313ms)
 GET /api/dev/orchestrator 200 in 319ms (compile: 1755µs, render: 317ms)
 GET /api/dev/orchestrator 200 in 313ms (compile: 1533µs, render: 312ms)
 GET /api/dev/orchestrator 200 in 310ms (compile: 1542µs, render: 309ms)
 GET /api/dev/orchestrator 200 in 320ms (compile: 1461µs, render: 319ms)
 GET /api/dev/orchestrator 200 in 305ms (compile: 1529µs, render: 303ms)
 GET /api/dev/orchestrator 200 in 313ms (compile: 1382µs, render: 311ms)
 GET /api/dev/orchestrator 200 in 312ms (compile: 1414µs, render: 310ms)
 GET /api/dev/orchestrator 200 in 312ms (compile: 1391µs, render: 310ms)
 GET /api/dev/orchestrator 200 in 314ms (compile: 1559µs, render: 313ms)
 GET /api/dev/orchestrator 200 in 312ms (compile: 1538µs, render: 310ms)
 GET /api/dev/orchestrator 200 in 315ms (compile: 1438µs, render: 313ms)
 GET /api/dev/orchestrator 200 in 316ms (compile: 2ms, render: 314ms)
